MONTH,MONTHNUM,STATE,PERIOD,SEASON,CROP,Generic.Name
May,5,Andhra Pradesh,Sowing,kharif,paddy,Rice
Jun,6,Andhra Pradesh,Sowing,kharif,paddy,Rice
Nov,11,Andhra Pradesh,Harvesting,kharif,paddy,Rice
Dec,12,Andhra Pradesh,Harvesting,kharif,paddy,Rice
Feb,2,Assam,Sowing,kharif,paddy,Rice
Mar,3,Assam,Sowing,kharif,paddy,Rice
Jun,6,Assam,Harvesting,kharif,paddy,Rice
Jul,7,Assam,Harvesting,kharif,paddy,Rice
Jun,6,Bihar,Sowing,kharif,paddy,Rice
Jul,7,Bihar,Sowing,kharif,paddy,Rice
Aug,8,Bihar,Sowing,kharif,paddy,Rice
Oct,10,Bihar,Harvesting,kharif,paddy,Rice
Nov,11,Bihar,Harvesting,kharif,paddy,Rice
May,5,Goa,Sowing,kharif,paddy,Rice
Jun,6,Goa,Sowing,kharif,paddy,Rice
Sep,9,Goa,Harvesting,kharif,paddy,Rice
Oct,10,Goa,Harvesting,kharif,paddy,Rice
Jun,6,Gujarat,Sowing,kharif,paddy,Rice
Jul,7,Gujarat,Sowing,kharif,paddy,Rice
Oct,10,Gujarat,Harvesting,kharif,paddy,Rice
Nov,11,Gujarat,Harvesting,kharif,paddy,Rice
Jun,6,Haryana,Sowing,kharif,paddy,Rice
Jul,7,Haryana,Sowing,kharif,paddy,Rice
Sep,9,Haryana,Harvesting,kharif,paddy,Rice
Oct,10,Haryana,Harvesting,kharif,paddy,Rice
May,5,Himachal Pradesh,Sowing,kharif,paddy,Rice
Jun,6,Himachal Pradesh,Sowing,kharif,paddy,Rice
Oct,10,Himachal Pradesh,Harvesting,kharif,paddy,Rice
Apr,4,Jammu & Kashmir,Sowing,kharif,paddy,Rice
May,5,Jammu & Kashmir,Sowing,kharif,paddy,Rice
Sep,9,Jammu & Kashmir,Harvesting,kharif,paddy,Rice
Oct,10,Jammu & Kashmir,Harvesting,kharif,paddy,Rice
May,5,Karnataka,Sowing,kharif,paddy,Rice
Jun,6,Karnataka,Sowing,kharif,paddy,Rice
Sep,9,Karnataka,Harvesting,kharif,paddy,Rice
Oct,10,Karnataka,Harvesting,kharif,paddy,Rice
Apr,4,Kerala,Sowing,kharif,paddy,Rice
May,5,Kerala,Sowing,kharif,paddy,Rice
Sep,9,Kerala,Harvesting,kharif,paddy,Rice
Oct,10,Kerala,Harvesting,kharif,paddy,Rice
Jun,6,Madhya Pradesh,Sowing,kharif,paddy,Rice
Jul,7,Madhya Pradesh,Sowing,kharif,paddy,Rice
Oct,10,Madhya Pradesh,Harvesting,kharif,paddy,Rice
Nov,11,Madhya Pradesh,Harvesting,kharif,paddy,Rice
Jun,6,Maharashtra,Sowing,kharif,paddy,Rice
Jul,7,Maharashtra,Sowing,kharif,paddy,Rice
Oct,10,Maharashtra,Harvesting,kharif,paddy,Rice
Nov,11,Maharashtra,Harvesting,kharif,paddy,Rice
May,5,Odisha,Sowing,kharif,paddy,Rice
Jun,6,Odisha,Sowing,kharif,paddy,Rice
Sep,9,Odisha,Harvesting,kharif,paddy,Rice
Oct,10,Odisha,Harvesting,kharif,paddy,Rice
Jun,6,Punjab,Sowing,kharif,paddy,Rice
Jul,7,Punjab,Sowing,kharif,paddy,Rice
Oct,10,Punjab,Harvesting,kharif,paddy,Rice
Nov,11,Punjab,Harvesting,kharif,paddy,Rice
Jun,6,Rajasthan,Sowing,kharif,paddy,Rice
Jul,7,Rajasthan,Sowing,kharif,paddy,Rice
Oct,10,Rajasthan,Harvesting,kharif,paddy,Rice
Nov,11,Rajasthan,Harvesting,kharif,paddy,Rice
Jun,6,Uttar Pradesh,Sowing,kharif,paddy,Rice
Jul,7,Uttar Pradesh,Sowing,kharif,paddy,Rice
Oct,10,Uttar Pradesh,Harvesting,kharif,paddy,Rice
Nov,11,Uttar Pradesh,Harvesting,kharif,paddy,Rice
May,5,All India,Sowing,kharif,paddy,Rice
Jun,6,All India,Sowing,kharif,paddy,Rice
Jul,7,All India,Sowing,kharif,paddy,Rice
Aug,8,All India,Sowing,kharif,paddy,Rice
